Mean Score,Participant Scores,True Label,Predicted Label
_,_,100.0,1.734697
_,_,100.0,1.8803331
_,_,100.0,1.5635369
_,_,100.0,1.7219751
_,_,100.0,1.7443695
_,_,100.0,1.8984991
_,_,100.0,1.989027
_,_,98.757614,2.079227
_,_,0.0,2.0956695
_,_,0.0,2.1525977
_,_,49.375145,2.0147038
_,_,50.0,1.3047097
_,_,50.0,1.6125621
_,_,50.0,1.5031949
_,_,50.0,1.4563825
_,_,50.0,1.5745233
_,_,50.0,1.4507687
_,_,50.0,2.0145562
_,_,50.0,1.3428636
_,_,50.0,1.1818181
_,_,50.0,1.5585513
_,_,50.0,1.15359
_,_,50.0,1.282314
_,_,50.0,1.4326918
_,_,50.0,1.4949493
_,_,148.75029,1.322345
_,_,150.0,1.8233953
_,_,150.0,1.4614626
_,_,150.0,2.0341723
_,_,150.0,1.3904319
_,_,150.0,1.9267203
_,_,150.0,1.3322818
_,_,150.0,1.1860052
_,_,150.0,1.9940853
_,_,150.0,1.5093483
_,_,100.624855,1.411378
_,_,100.0,1.5818363
_,_,100.0,1.8544738
_,_,100.0,1.1597365
_,_,100.0,1.7475892
_,_,100.0,1.6782444
_,_,100.0,1.4270451
_,_,100.0,1.8712538
_,_,100.0,1.3308836
_,_,100.0,1.1408983
_,_,100.0,1.2648582
_,_,100.0,1.9207157
_,_,99.37881,1.890175
_,_,50.0,1.539434
_,_,50.0,1.4065783
_,_,50.0,0.97367895
_,_,50.0,1.6554911
_,_,50.0,1.3943012
_,_,50.0,1.5915835
_,_,50.0,1.1349907
_,_,50.0,2.0581458
_,_,50.0,1.5891029
_,_,50.0,1.5075688
_,_,50.0,1.2267622
_,_,50.0,1.5503602
_,_,50.0,1.4272345
_,_,50.0,1.2177888
_,_,51.24239,1.6325237
_,_,150.0,1.2230964
_,_,150.0,1.152181
_,_,150.0,1.3542597
_,_,150.0,0.98308915
_,_,150.0,1.2254752
_,_,150.0,1.5256855
_,_,150.0,2.0169199
_,_,150.0,1.7503177
_,_,150.0,1.9457275
_,_,149.37881,1.7037435
_,_,100.0,1.4784291
_,_,100.0,0.5003246
_,_,100.0,1.4709506
_,_,100.0,1.6472278
_,_,100.0,1.3318806
_,_,100.0,1.6616138
_,_,100.0,1.4865632
_,_,100.0,1.4642308
_,_,100.0,1.4295312
_,_,100.0,1.5579855
_,_,100.0,1.8229631
_,_,100.0,1.7382914
_,_,149.37515,1.5324763
_,_,150.0,1.7982547
_,_,150.0,1.3752214
_,_,150.0,1.41969
_,_,150.0,1.5029063
_,_,150.0,1.065038
_,_,150.0,1.0076612
_,_,150.0,1.1730425
_,_,150.0,1.2966428
_,_,150.0,1.9127824
_,_,51.24971,1.4979677
_,_,50.0,1.0992308
_,_,50.0,1.8321671
_,_,50.0,0.98676795
_,_,50.0,1.0115538
_,_,50.0,1.606715
_,_,50.0,1.7092577
_,_,50.0,1.9380547
_,_,50.0,1.7161788
_,_,50.0,1.4688439
_,_,50.0,1.4332817
_,_,50.0,1.1059754
_,_,50.0,1.2271196
_,_,50.0,1.9603132
_,_,50.0,1.2608943
_,_,99.375145,1.7589595
_,_,100.0,1.3352898
_,_,100.0,2.1898305
_,_,100.0,1.6470343
_,_,100.0,2.1753144
_,_,100.0,1.5308796
_,_,100.0,1.2629222
_,_,100.0,1.2411048
_,_,100.0,2.2124166
_,_,100.0,1.374422
_,_,100.0,1.7209926
_,_,100.0,1.8796593
_,_,98.757614,1.6183493
_,_,0.0,2.0502365
_,_,0.0,1.5900989
_,_,49.375145,1.4685973
_,_,50.0,1.6301417
_,_,50.0,1.2424185
_,_,50.0,1.3875887
_,_,50.0,1.2380838
_,_,50.0,1.7210618
_,_,50.0,1.9778398
_,_,50.0,1.2373543
_,_,50.0,1.553684
_,_,50.0,1.4279201
_,_,50.0,2.4169965
_,_,50.0,1.8088324
_,_,50.0,1.5906911
_,_,50.0,1.2364533
_,_,50.0,1.0951235
_,_,150.0,1.920203
_,_,150.0,1.5875573
_,_,150.0,1.5393912
_,_,150.0,1.263582
_,_,150.0,1.4686738
_,_,150.0,1.4893398
_,_,150.0,1.1899569
_,_,150.0,1.477485
_,_,150.0,1.8160084
_,_,100.624855,1.1190562
_,_,100.0,1.8075854
_,_,100.0,0.8724508
_,_,100.0,1.4563434
_,_,100.0,1.9953693
_,_,100.0,1.9360826
_,_,100.0,1.1219674
_,_,100.0,0.70141447
_,_,100.0,1.4476494
_,_,100.0,0.792403
_,_,100.0,1.9650425
_,_,100.0,1.6642174
_,_,99.37881,1.8382287
_,_,50.0,1.3611773
_,_,50.0,1.6528986
_,_,50.0,1.0380468
_,_,50.0,1.3838627
_,_,50.0,1.2191434
_,_,50.0,1.636506
_,_,50.0,1.5659661
_,_,50.0,1.7364795
_,_,50.0,1.2599049
_,_,50.0,1.4096973
_,_,50.0,1.6696036
_,_,50.0,1.785992
_,_,50.0,1.9718131
_,_,50.0,1.2499683
_,_,51.24239,1.0165501
_,_,150.0,1.6157038
_,_,150.0,2.0716085
_,_,150.0,1.2435709
_,_,150.0,1.3494842
_,_,150.0,1.4961691
_,_,150.0,1.2976042
_,_,150.0,1.082941
_,_,150.0,1.4473587
_,_,150.0,1.7385414
_,_,149.37881,1.1805785
_,_,100.0,1.2300339
_,_,100.0,1.3554205
_,_,100.0,1.6817743
_,_,100.0,2.270141
_,_,100.0,1.4642476
_,_,100.0,1.7399112
_,_,100.0,1.8260409
_,_,100.0,1.8939729
_,_,100.0,1.2917469
_,_,100.0,1.563243
_,_,100.0,1.526148
_,_,100.0,1.7604911
_,_,149.37515,1.940581
_,_,150.0,1.7364649
_,_,150.0,1.4551402
_,_,150.0,1.7891409
_,_,150.0,1.50399
_,_,150.0,1.5613322
_,_,150.0,2.3332632
_,_,150.0,1.5586952
_,_,150.0,1.8017207
_,_,150.0,1.72828
_,_,51.24971,1.5640196
_,_,50.0,1.396348
_,_,50.0,1.7887113
_,_,50.0,1.9216009
_,_,50.0,1.768871
_,_,50.0,1.0022527
_,_,50.0,1.690545
_,_,50.0,1.3386369
_,_,50.0,1.2675581
_,_,50.0,1.5094283
_,_,50.0,1.7922096
_,_,50.0,1.8261285
_,_,50.0,1.5351598
_,_,50.0,1.587683
_,_,50.0,2.0709026
_,_,99.375145,1.4516535
_,_,100.0,1.2492678
_,_,100.0,1.9657187
_,_,100.0,1.6748236
_,_,100.0,1.4187213
_,_,100.0,1.354935
_,_,100.0,1.6182597
_,_,100.0,1.1448112
_,_,100.0,1.539704
_,_,100.0,1.3612262
_,_,100.0,1.6003925
_,_,100.0,1.5018026
_,_,98.757614,1.3799016
_,_,0.0,1.4200901
_,_,0.0,1.5012348
_,_,49.375145,1.7815388
_,_,50.0,1.8355825
_,_,50.0,1.8717886
_,_,50.0,2.036962
_,_,50.0,2.4814868
_,_,50.0,2.191048
_,_,50.0,2.0202565
_,_,50.0,1.957681
_,_,50.0,2.709804
_,_,50.0,2.241626
_,_,50.0,1.8435535
_,_,50.0,2.447937
_,_,50.0,1.7041652
_,_,50.0,1.8966272
_,_,50.0,2.056837
_,_,148.75029,1.8201518
_,_,150.0,2.421269
_,_,150.0,1.8575287
_,_,150.0,1.7382934
_,_,150.0,1.8716037
_,_,150.0,1.7982594
_,_,150.0,1.322639
_,_,150.0,1.8247449
_,_,150.0,1.8909647
_,_,150.0,2.395881
_,_,100.624855,1.6390911
_,_,100.0,2.105441
_,_,100.0,1.6513517
_,_,100.0,1.9727515
_,_,100.0,1.3017862
_,_,100.0,2.4529903
_,_,100.0,2.1600554
_,_,100.0,2.1539748
_,_,100.0,1.8866816
_,_,100.0,1.733808
_,_,100.0,1.9051616
_,_,100.0,1.7618285
_,_,99.37881,1.9224565
_,_,50.0,1.5853803
_,_,50.0,1.6804022
_,_,50.0,1.7167529
_,_,50.0,1.8906913
_,_,50.0,1.4332517
_,_,50.0,1.6866561
_,_,50.0,1.7565198
_,_,50.0,1.8485273
_,_,50.0,1.965912
_,_,50.0,1.5795517
_,_,50.0,1.8929238
_,_,50.0,1.748435
_,_,50.0,2.2627187
_,_,51.24239,1.9503522
_,_,150.0,1.8435748
_,_,150.0,1.565903
_,_,150.0,2.4742315
_,_,150.0,2.1222427
_,_,150.0,2.1301682
_,_,150.0,2.2502003
_,_,150.0,2.1825943
_,_,150.0,2.612296
_,_,149.37881,2.6959841
_,_,100.0,1.9406921
_,_,100.0,1.6300865
_,_,100.0,2.141691
_,_,100.0,2.5164118
_,_,100.0,2.2509665
_,_,100.0,1.8574001
_,_,100.0,1.6008525
_,_,100.0,1.7819936
_,_,100.0,1.7811611
_,_,100.0,2.1199927
_,_,100.0,1.5999582
_,_,100.0,1.4445623
_,_,149.37515,1.8955328
_,_,150.0,2.1979547
_,_,150.0,2.1874716
_,_,150.0,2.136457
_,_,150.0,1.862498
_,_,150.0,2.0134618
_,_,150.0,2.01415
_,_,150.0,1.9861645
_,_,150.0,1.5849543
_,_,150.0,2.2304547
_,_,51.24971,2.0381784
_,_,50.0,2.463725
_,_,50.0,2.1195538
_,_,50.0,1.4907519
_,_,50.0,2.0933661
_,_,50.0,2.068277
_,_,50.0,1.9511256
_,_,50.0,1.8003162
_,_,50.0,1.673751
_,_,50.0,1.932972
_,_,50.0,1.8446757
_,_,50.0,2.047498
_,_,50.0,1.8325765
_,_,50.0,1.8996357
_,_,99.375145,1.7523807
_,_,100.0,2.69989
_,_,100.0,2.2336018
_,_,100.0,1.9752448
_,_,100.0,2.3668792
_,_,100.0,2.4703524
_,_,100.0,1.748903
_,_,100.0,2.7069263
_,_,100.0,1.2972531
_,_,100.0,1.98081
_,_,100.0,1.9516104
_,_,100.0,1.9208776
_,_,98.757614,1.3140111
_,_,0.0,1.896866
_,_,0.0,1.567914
_,_,49.375145,1.9995381
_,_,50.0,1.8108929
_,_,50.0,2.231018
_,_,50.0,1.7950014
_,_,50.0,1.5203067
_,_,50.0,2.150714
_,_,50.0,2.1283727
_,_,50.0,2.1901658
_,_,50.0,1.482224
_,_,50.0,1.6097549
_,_,50.0,2.0221493
_,_,50.0,1.6927551
_,_,50.0,1.5599575
_,_,50.0,1.5114386
_,_,148.75029,2.8271918
_,_,150.0,1.9659543
_,_,150.0,2.0136366
_,_,150.0,2.2970724
_,_,150.0,1.7425151
_,_,150.0,1.7786994
_,_,150.0,1.9358753
_,_,150.0,2.1768193
_,_,150.0,1.479073
_,_,150.0,2.0041668
_,_,100.624855,1.7645258
_,_,100.0,1.9296097
_,_,100.0,1.9322246
_,_,100.0,2.025177
_,_,100.0,1.4070691
_,_,100.0,2.434035
_,_,100.0,2.3805337
_,_,100.0,2.3915837
_,_,100.0,1.872748
_,_,100.0,1.6334286
_,_,100.0,1.8201708
_,_,100.0,1.9606302
_,_,99.37881,1.760655
_,_,50.0,2.0454285
_,_,50.0,1.9737426
_,_,50.0,2.2651777
_,_,50.0,1.6293081
_,_,50.0,1.9938045
_,_,50.0,2.0637593
_,_,50.0,1.3225888
_,_,50.0,2.1754842
_,_,50.0,2.4437928
_,_,50.0,2.1128602
_,_,50.0,1.7537388
_,_,50.0,2.3755064
_,_,50.0,1.6566826
_,_,50.0,2.1004705
_,_,51.24239,1.8110822
_,_,150.0,1.8318068
_,_,150.0,1.6591016
_,_,150.0,1.5912223
_,_,150.0,1.8772155
_,_,150.0,2.0111213
_,_,150.0,1.9917204
_,_,150.0,1.7650689
_,_,150.0,2.399197
_,_,150.0,1.9117285
_,_,149.37881,1.5915073
_,_,100.0,2.0931835
_,_,100.0,1.8279756
_,_,100.0,1.9086841
_,_,100.0,1.9923348
_,_,100.0,1.925919
_,_,100.0,2.0266364
_,_,100.0,1.5002887
_,_,100.0,2.251921
_,_,100.0,2.3562758
_,_,100.0,1.8763325
_,_,100.0,2.2584903
_,_,100.0,1.9923372
_,_,149.37515,1.5872262
_,_,150.0,2.1521382
_,_,150.0,2.3017921
_,_,150.0,2.2224631
_,_,150.0,1.8163327
_,_,150.0,2.3750534
_,_,150.0,2.0172558
_,_,150.0,2.3708026
_,_,150.0,1.3394636
_,_,150.0,2.31277
_,_,51.24971,2.0043418
_,_,50.0,2.2853642
_,_,50.0,2.1774676
_,_,50.0,1.8356775
_,_,50.0,1.4825035
_,_,50.0,2.5795114
_,_,50.0,1.9890225
_,_,50.0,1.1814067
_,_,50.0,1.8554384
_,_,50.0,2.0992467
_,_,50.0,2.172483
_,_,50.0,2.260412
_,_,50.0,2.0142288
_,_,50.0,2.0996573
_,_,50.0,2.1309228
_,_,99.375145,2.120141
_,_,100.0,1.9431919
_,_,100.0,2.2504818
_,_,100.0,2.3397565
_,_,100.0,1.9033763
_,_,100.0,2.6564946
_,_,100.0,2.6739843
_,_,100.0,1.4576999
_,_,100.0,1.7715895
_,_,100.0,2.261527
_,_,100.0,1.9883627
_,_,100.0,1.6719972
_,_,98.757614,2.3467498
_,_,0.0,2.002008
_,_,0.0,2.7484717
_,_,49.375145,2.2687736
_,_,50.0,1.5834488
_,_,50.0,1.5049055
_,_,50.0,1.4966714
_,_,50.0,1.7411544
_,_,50.0,2.2171655
_,_,50.0,0.97875875
_,_,50.0,2.0448887
_,_,50.0,1.2500577
_,_,50.0,1.7105906
_,_,50.0,0.68099266
_,_,50.0,1.210463
_,_,50.0,1.9189337
_,_,50.0,1.117008
_,_,50.0,1.4484899
_,_,148.75029,1.6695338
_,_,150.0,1.944974
_,_,150.0,2.1230965
_,_,150.0,1.1747682
_,_,150.0,1.333402
_,_,150.0,2.3357782
_,_,150.0,2.3228261
_,_,150.0,1.5827432
_,_,150.0,1.2036262
_,_,150.0,1.4517708
_,_,100.624855,1.4538028
_,_,100.0,1.6086409
_,_,100.0,1.6302894
_,_,100.0,1.9218928
_,_,100.0,1.3157337
_,_,100.0,1.8773863
_,_,100.0,1.4223083
_,_,100.0,1.5817763
_,_,100.0,1.5808223
_,_,100.0,1.989043
_,_,100.0,1.9644327
_,_,99.37881,1.2033751
_,_,50.0,1.6159911
_,_,50.0,1.1355922
_,_,50.0,1.1976142
_,_,50.0,1.5468904
_,_,50.0,1.6598297
_,_,50.0,1.950863
_,_,50.0,1.5370641
_,_,50.0,1.186655
_,_,50.0,1.4301391
_,_,50.0,1.1092006
_,_,50.0,1.6198059
_,_,50.0,1.0448835
_,_,50.0,1.9993707
_,_,150.0,1.1433312
_,_,150.0,1.7711742
_,_,150.0,1.32003
_,_,150.0,1.480949
_,_,150.0,1.7994882
_,_,150.0,1.831853
_,_,150.0,1.2050763
_,_,150.0,1.4736513
_,_,150.0,1.3048065
_,_,149.37881,1.3804418
_,_,100.0,1.6420143
_,_,100.0,1.7873963
_,_,100.0,1.6677142
_,_,100.0,1.1258712
_,_,100.0,1.7792251
_,_,100.0,1.7925701
_,_,100.0,0.9544575
_,_,100.0,2.3883755
_,_,100.0,1.3582373
_,_,100.0,1.0726323
_,_,100.0,1.4871299
_,_,100.0,2.3551872
_,_,149.37515,2.1400664
_,_,150.0,1.5198203
_,_,150.0,1.5548102
_,_,150.0,0.9597682
_,_,150.0,1.5620401
_,_,150.0,1.018619
_,_,150.0,1.9668097
_,_,150.0,0.770648
_,_,150.0,1.8045386
_,_,150.0,1.4341748
_,_,51.24971,1.3157796
_,_,50.0,1.1134464
_,_,50.0,1.3860431
_,_,50.0,1.3009181
_,_,50.0,1.3668716
_,_,50.0,2.1919715
_,_,50.0,1.3718861
_,_,50.0,1.460425
_,_,50.0,1.1647025
_,_,50.0,1.2546306
_,_,99.375145,1.5534328
_,_,100.0,1.2145281
_,_,100.0,1.2973583
_,_,100.0,1.6934818
_,_,100.0,1.1686496
_,_,100.0,1.3414679
_,_,100.0,1.8924812
_,_,100.0,1.7280161
_,_,100.0,1.1291718
_,_,98.757614,1.7963533
_,_,0.0,2.024531
_,_,49.375145,1.2222202
_,_,50.0,1.6638223
_,_,50.0,1.8615708
_,_,50.0,2.1803608
_,_,50.0,1.7130522
_,_,50.0,1.3559835
_,_,50.0,1.5397258
_,_,50.0,1.2839972
_,_,50.0,1.8726567
_,_,50.0,1.7509148
_,_,50.0,1.3703359
_,_,50.0,1.5155767
_,_,50.0,1.4472169
_,_,50.0,1.6020386
_,_,50.0,1.6186321
_,_,148.75029,1.4112338
_,_,150.0,1.4065138
_,_,150.0,1.2092515
_,_,150.0,1.3477979
_,_,150.0,1.2387831
_,_,150.0,1.2659549
_,_,150.0,1.0924859
_,_,150.0,0.97172666
_,_,150.0,1.5432595
_,_,150.0,1.4397808
_,_,100.624855,1.5311971
_,_,100.0,1.4445988
_,_,100.0,1.2351539
_,_,100.0,1.6060282
_,_,100.0,1.8980798
_,_,100.0,1.3752273
_,_,100.0,1.9342328
_,_,100.0,1.4911968
_,_,100.0,1.6342654
_,_,100.0,1.418152
_,_,100.0,1.8378574
_,_,100.0,1.7297186
_,_,99.37881,1.630009
_,_,50.0,1.2911279
_,_,50.0,1.7508272
_,_,50.0,2.0344532
_,_,50.0,1.1521626
_,_,50.0,1.5415165
_,_,50.0,1.6048646
_,_,50.0,1.0727593
_,_,50.0,1.500537
_,_,50.0,1.8981078
_,_,50.0,0.973369
_,_,50.0,1.6340885
_,_,50.0,1.4621384
_,_,50.0,1.4631926
_,_,50.0,1.3607895
_,_,51.24239,1.83296
_,_,150.0,1.7840974
_,_,150.0,1.4167987
_,_,150.0,1.4498973
_,_,150.0,1.7648809
_,_,150.0,1.3310856
_,_,150.0,1.2607611
_,_,150.0,0.991152
_,_,150.0,1.1457828
_,_,150.0,1.7262543
_,_,149.37881,1.53639
_,_,100.0,2.0668478
_,_,100.0,1.3356986
_,_,100.0,1.6179291
_,_,100.0,1.4589485
_,_,100.0,1.1390679
_,_,100.0,1.6967251
_,_,100.0,1.9337217
_,_,100.0,1.601809
_,_,100.0,1.57083
_,_,100.0,1.7972115
_,_,100.0,1.6908784
_,_,100.0,1.3793048
_,_,149.37515,1.4481432
_,_,150.0,1.8899705
_,_,150.0,1.3754582
_,_,150.0,1.8760698
_,_,150.0,1.5771437
