Mean Score,Participant Mean Scores,Most common best Parameter,True Label,Predicted Label
_,_,_,100.0000014901,88.07030577173497
_,_,_,100.0000014901,94.93336854176546
_,_,_,100.0000014901,80.03903212197136
_,_,_,100.0000014901,90.25778299599519
_,_,_,100.0000014901,86.501264488395
_,_,_,100.0000014901,89.4823093180003
_,_,_,100.0000014901,91.43147480047298
_,_,_,100.0000014901,94.86385891435157
_,_,_,100.0000014901,104.97612812202203
_,_,_,98.7576142035,99.78116362038035
_,_,_,0.0,85.49378933760597
_,_,_,0.0,93.91243890665218
_,_,_,49.3751459369,80.53150226841726
_,_,_,50.0000007451,89.10346767200046
_,_,_,50.0000007451,81.75456966071116
_,_,_,50.0000007451,96.97184066707594
_,_,_,50.0000007451,93.98292203576877
_,_,_,50.0000007451,91.03412537373535
_,_,_,50.0000007451,97.54503607616876
_,_,_,50.0000007451,89.81784235650251
_,_,_,50.0000007451,95.6480359441634
_,_,_,50.0000007451,90.66457500822
_,_,_,50.0000007451,87.94274125962133
_,_,_,50.0000007451,84.49377467793948
_,_,_,50.0000007451,89.98449388877636
_,_,_,50.0000007451,91.93136174671866
_,_,_,50.0000007451,87.62637631301128
_,_,_,148.7502926096,94.3712102047746
_,_,_,150.0000022352,97.8918689968813
_,_,_,150.0000022352,96.87125223151183
_,_,_,150.0000022352,83.47401648954563
_,_,_,150.0000022352,92.38362388223707
_,_,_,150.0000022352,92.35134072361188
_,_,_,150.0000022352,99.30047898924778
_,_,_,150.0000022352,87.97613397091598
_,_,_,150.0000022352,86.31256505665856
_,_,_,150.0000022352,99.51158529472883
_,_,_,100.6248563059,103.64999355705991
_,_,_,100.0000014901,97.4993800583014
_,_,_,100.0000014901,85.55424183870232
_,_,_,100.0000014901,95.45852505333231
_,_,_,100.0000014901,83.64172417855193
_,_,_,100.0000014901,97.31782684349628
_,_,_,100.0000014901,93.02839244087193
_,_,_,100.0000014901,93.82570598816488
_,_,_,100.0000014901,91.99159704400978
_,_,_,100.0000014901,89.50896489122395
_,_,_,100.0000014901,85.98825541956322
_,_,_,100.0000014901,100.99512329460957
_,_,_,99.3788078438,93.27924112077872
_,_,_,50.0000007451,101.94596337344515
_,_,_,50.0000007451,95.48107190156865
_,_,_,50.0000007451,91.63731409293307
_,_,_,50.0000007451,95.66722695642588
_,_,_,50.0000007451,77.21318627346618
_,_,_,50.0000007451,99.0913666000491
_,_,_,50.0000007451,74.01879254347736
_,_,_,50.0000007451,89.50100818027566
_,_,_,50.0000007451,101.35312578414407
_,_,_,50.0000007451,89.47761985594491
_,_,_,50.0000007451,86.09528048996424
_,_,_,50.0000007451,93.35321171252444
_,_,_,50.0000007451,94.88046521080486
_,_,_,50.0000007451,93.97978144348372
_,_,_,51.2423880255,86.98645423222666
_,_,_,150.0000022352,91.73333470003863
_,_,_,150.0000022352,95.39420958031099
_,_,_,150.0000022352,86.41638115514851
_,_,_,150.0000022352,94.38357679731922
_,_,_,150.0000022352,92.03304627090888
_,_,_,150.0000022352,109.3687713875276
_,_,_,150.0000022352,85.82693889580398
_,_,_,150.0000022352,91.53418573127479
_,_,_,150.0000022352,96.59540047509357
_,_,_,149.378808598,97.40635711803434
_,_,_,100.0000014901,87.63986387219579
_,_,_,100.0000014901,85.47353335076482
_,_,_,100.0000014901,89.97924607053068
_,_,_,100.0000014901,81.82174219742292
_,_,_,100.0000014901,93.76280032686195
_,_,_,100.0000014901,85.24619022118408
_,_,_,100.0000014901,89.94678495366115
_,_,_,100.0000014901,79.8826248134641
_,_,_,100.0000014901,98.97817427057416
_,_,_,100.0000014901,81.26459373575851
_,_,_,100.0000014901,79.27825027798747
_,_,_,100.0000014901,95.31569906512777
_,_,_,149.3751474346,88.38933710089441
_,_,_,150.0000022352,92.63927719343505
_,_,_,150.0000022352,83.49452399754414
_,_,_,150.0000022352,91.46675362688212
_,_,_,150.0000022352,92.99523442091446
_,_,_,150.0000022352,88.85191940210032
_,_,_,150.0000022352,97.94612360668005
_,_,_,150.0000022352,86.89843346538393
_,_,_,150.0000022352,91.50321716657449
_,_,_,51.2497103554,98.27153958717852
_,_,_,50.0000007451,89.48516549427099
_,_,_,50.0000007451,91.36200176028316
_,_,_,50.0000007451,101.62543300627844
_,_,_,50.0000007451,81.99587213473335
_,_,_,50.0000007451,89.10376147155078
_,_,_,50.0000007451,93.92940446246372
_,_,_,50.0000007451,84.85309950743179
_,_,_,50.0000007451,99.17703551598653
_,_,_,50.0000007451,102.4965773001445
_,_,_,50.0000007451,86.02982345773063
_,_,_,50.0000007451,89.24422525482467
_,_,_,50.0000007451,98.00211829876407
_,_,_,50.0000007451,87.99021625998057
_,_,_,50.0000007451,95.26424983531889
_,_,_,99.3751466773,91.72173450603826
_,_,_,100.0000014901,90.48276918147265
_,_,_,100.0000014901,92.9254577471809
_,_,_,100.0000014901,89.85124356675098
_,_,_,100.0000014901,86.08354198025465
_,_,_,100.0000014901,89.9003829295979
_,_,_,100.0000014901,90.5381534127566
_,_,_,100.0000014901,96.29092460505726
_,_,_,100.0000014901,86.47095733499745
_,_,_,100.0000014901,100.51860069509486
_,_,_,100.0000014901,88.93975124324585
_,_,_,100.0000014901,89.4078129305523
_,_,_,98.7576142035,87.9523424109664
_,_,_,0.0,85.45628360508458
_,_,_,0.0,91.73706312534941
_,_,_,49.3751459369,98.96220575903598
_,_,_,50.0000007451,100.45015955944551
_,_,_,50.0000007451,91.95717548723263
_,_,_,50.0000007451,84.23763230022891
_,_,_,50.0000007451,91.769788436412
_,_,_,50.0000007451,83.024702535618
_,_,_,50.0000007451,86.04584837538265
_,_,_,50.0000007451,100.20651793907345
_,_,_,50.0000007451,97.71888685706548
_,_,_,50.0000007451,100.962656663288
_,_,_,50.0000007451,77.00014759357799
_,_,_,50.0000007451,85.95023256672
_,_,_,50.0000007451,94.93366753724064
_,_,_,50.0000007451,93.50323550223148
_,_,_,50.0000007451,93.49070179454003
_,_,_,148.7502926096,85.800560305642
_,_,_,150.0000022352,89.97500714854601
_,_,_,150.0000022352,97.490756771587
_,_,_,150.0000022352,89.98750424462798
_,_,_,150.0000022352,94.937589158038
_,_,_,150.0000022352,90.69714497531147
_,_,_,150.0000022352,96.7313839383125
_,_,_,150.0000022352,109.96989795453862
_,_,_,150.0000022352,98.9998129846523
_,_,_,150.0000022352,81.02470250590001
_,_,_,100.6248563059,87.27405873110003
_,_,_,100.0000014901,92.21675244584887
_,_,_,100.0000014901,91.9917676046693
_,_,_,100.0000014901,97.9884546609884
_,_,_,100.0000014901,81.95023250678997
_,_,_,100.0000014901,88.962583261122
_,_,_,100.0000014901,99.74405744748097
_,_,_,100.0000014901,87.80818625888558
_,_,_,100.0000014901,85.92092622925067
_,_,_,100.0000014901,103.97517211003456
_,_,_,100.0000014901,88.93768669998266
_,_,_,100.0000014901,89.20944108663909
_,_,_,99.3788078438,95.42216915924149
_,_,_,50.0000007451,79.95023247728801
_,_,_,50.0000007451,86.93989766032816
_,_,_,50.0000007451,94.21270537763083
_,_,_,50.0000007451,89.10742524927726
_,_,_,50.0000007451,96.04554342694799
_,_,_,50.0000007451,84.02299743402376
_,_,_,50.0000007451,95.02068346256333
_,_,_,50.0000007451,92.91281460613999
_,_,_,50.0000007451,96.54585955997423
_,_,_,50.0000007451,93.2064568153415
_,_,_,50.0000007451,91.19392917929294
_,_,_,50.0000007451,90.97816804934449
_,_,_,50.0000007451,93.74693204067597
_,_,_,50.0000007451,87.97918502122084
_,_,_,51.2423880255,91.68760741539243
_,_,_,150.0000022352,99.71258342129651
_,_,_,150.0000022352,88.20951389327347
_,_,_,150.0000022352,93.02499557803199
_,_,_,150.0000022352,100.95023279063597
_,_,_,150.0000022352,91.94389257890198
_,_,_,150.0000022352,88.9814570461015
_,_,_,150.0000022352,90.94396578739797
_,_,_,150.0000022352,90.912887799634
_,_,_,150.0000022352,98.96674910939996
_,_,_,149.378808598,87.91244027371249
_,_,_,100.0000014901,87.72513525596241
_,_,_,100.0000014901,83.99154781489368
_,_,_,100.0000014901,93.01249848187199
_,_,_,100.0000014901,84.98750417036001
_,_,_,100.0000014901,81.024922176076
_,_,_,100.0000014901,87.92516518078399
_,_,_,100.0000014901,90.02499553332402
_,_,_,100.0000014901,80.00426452172
_,_,_,100.0000014901,90.23761408377348
_,_,_,100.0000014901,97.70646298414104
_,_,_,100.0000014901,90.98757748303198
_,_,_,100.0000014901,92.4471816128615
_,_,_,149.3751474346,88.83805163887001
_,_,_,150.0000022352,93.99170661489599
_,_,_,150.0000022352,93.98134118372667
_,_,_,150.0000022352,83.94812527980933
_,_,_,150.0000022352,91.97522684870201
_,_,_,150.0000022352,87.45945896471895
_,_,_,150.0000022352,81.0748495412132
_,_,_,150.0000022352,95.97500723826198
_,_,_,150.0000022352,92.97508041684704
_,_,_,150.0000022352,75.11218208927602
_,_,_,51.2497103554,98.08223333521399
_,_,_,50.0000007451,79.04984311503398
_,_,_,50.0000007451,97.95942250930555
_,_,_,50.0000007451,88.72197438525492
_,_,_,50.0000007451,93.975043820085
_,_,_,50.0000007451,87.99176754517065
_,_,_,50.0000007451,96.23445328748502
_,_,_,50.0000007451,99.21885026760947
_,_,_,50.0000007451,99.962729871534
_,_,_,50.0000007451,99.28741954399248
_,_,_,50.0000007451,105.00014801135796
_,_,_,50.0000007451,82.025141860656
_,_,_,50.0000007451,90.99500251752158
_,_,_,50.0000007451,87.96888060985766
_,_,_,50.0000007451,101.21265666678597
_,_,_,99.3751466773,97.88723817730984
_,_,_,100.0000014901,109.96265679746195
_,_,_,100.0000014901,89.23129229740894
_,_,_,100.0000014901,93.95341187767994
_,_,_,100.0000014901,99.96272987165796
_,_,_,100.0000014901,91.20019603330846
_,_,_,100.0000014901,89.96881351815749
_,_,_,100.0000014901,98.97504389463846
_,_,_,100.0000014901,91.90039071815599
_,_,_,100.0000014901,112.96265684235595
_,_,_,100.0000014901,90.20032415920548
_,_,_,100.0000014901,84.98680080109776
_,_,_,98.7576142035,102.95023282003996
_,_,_,0.0,77.97515341656802
_,_,_,0.0,94.987650766148
_,_,_,49.3751459369,86.74774758845668
_,_,_,50.0000007451,88.43157848896442
_,_,_,50.0000007451,87.95023259664801
_,_,_,50.0000007451,83.02499542902201
_,_,_,50.0000007451,86.00000128130802
_,_,_,50.0000007451,90.99992813238597
_,_,_,50.0000007451,93.48136558422749
_,_,_,50.0000007451,89.16666799537234
_,_,_,50.0000007451,90.00617666572799
_,_,_,50.0000007451,85.98757740859399
_,_,_,50.0000007451,94.987577542576
_,_,_,50.0000007451,90.024995533328
_,_,_,50.0000007451,107.00014804091794
_,_,_,50.0000007451,94.98469084296559
_,_,_,50.0000007451,89.77194447897293
_,_,_,150.0000022352,88.99378938997994
_,_,_,150.0000022352,89.96895996490049
_,_,_,150.0000022352,99.759541524356
_,_,_,150.0000022352,91.23450813016242
_,_,_,150.0000022352,99.75001979240251
_,_,_,150.0000022352,92.02504437895
_,_,_,150.0000022352,98.95231560943998
_,_,_,150.0000022352,93.962656558764
_,_,_,150.0000022352,101.02905156088649
_,_,_,100.6248563059,95.161951101754
_,_,_,100.0000014901,100.00402074255797
_,_,_,100.0000014901,80.02908826120341
_,_,_,100.0000014901,93.95023268602797
_,_,_,100.0000014901,77.02484889301999
_,_,_,100.0000014901,91.93773556042399
_,_,_,100.0000014901,99.95953237423599
_,_,_,100.0000014901,94.97515366989997
_,_,_,100.0000014901,88.97500713395797
_,_,_,100.0000014901,86.98959925363866
_,_,_,100.0000014901,90.96265651405092
_,_,_,100.0000014901,98.037419525218
_,_,_,99.3788078438,90.21581738872696
_,_,_,50.0000007451,77.17499921379563
_,_,_,50.0000007451,83.96265640970002
_,_,_,50.0000007451,75.96250984416798
_,_,_,50.0000007451,94.78175842772232
_,_,_,50.0000007451,94.98181675636405
_,_,_,50.0000007451,94.46576253446892
_,_,_,50.0000007451,84.01156675789701
_,_,_,50.0000007451,103.962803154618
