Mean Score,Test Scores,Most common best Parameter,True Label,Predicted Label
_,_,_,100.0000014901,-11213086937241.037
_,_,_,100.0000014901,3606496558744.031
_,_,_,100.0000014901,-12735469079025.715
_,_,_,100.0000014901,1823901207720.4832
_,_,_,100.0000014901,-6302111711177.041
_,_,_,100.0000014901,-17521381718417.729
_,_,_,100.0000014901,23046459029671.184
_,_,_,100.0000014901,-13536043558479.64
_,_,_,100.0000014901,-12439990055105.469
_,_,_,100.0000014901,-19271561392416.613
_,_,_,100.0000014901,-9038243029628.08
_,_,_,99.3788078438,5230453918043.092
_,_,_,50.0000007451,9134935857096.871
_,_,_,50.0000007451,2839612622619.8457
_,_,_,50.0000007451,-21686215860478.51
_,_,_,50.0000007451,-1617758830041.9897
_,_,_,50.0000007451,262004684701.22397
_,_,_,50.0000007451,-2561535981104.673
_,_,_,50.0000007451,-781764369009.7538
_,_,_,50.0000007451,10600772577058.13
_,_,_,50.0000007451,25505613259280.617
_,_,_,50.0000007451,-15610819624333.695
_,_,_,50.0000007451,-4336305102239.0415
_,_,_,50.0000007451,-6251479108012.787
_,_,_,50.0000007451,22613725106424.203
_,_,_,50.0000007451,3570423476416.584
_,_,_,51.2423880255,7444895905937.241
_,_,_,150.0000022352,383058346397.61334
_,_,_,150.0000022352,-16012535205931.059
_,_,_,150.0000022352,3511209195808.255
_,_,_,150.0000022352,10324867048718.674
_,_,_,150.0000022352,-6682092659401.726
_,_,_,150.0000022352,-4524624703587.736
_,_,_,150.0000022352,-20969693060552.17
_,_,_,150.0000022352,-12151739875604.082
_,_,_,150.0000022352,1027554775463.4335
_,_,_,149.378808598,-5645428368328.977
_,_,_,100.0000014901,-2250051835692.13
_,_,_,100.0000014901,-10451657332607.215
_,_,_,100.0000014901,12573163010550.23
_,_,_,100.0000014901,-31248472061407.996
_,_,_,100.0000014901,7543548596156.975
_,_,_,100.0000014901,-5472077161272.085
_,_,_,100.0000014901,-10850391031999.045
_,_,_,100.0000014901,-7312558838191.551
_,_,_,100.0000014901,-1600954832246.7385
_,_,_,100.0000014901,-3330129070016.7085
_,_,_,100.0000014901,18351205006057.918
_,_,_,100.0000014901,7833058720270.384
_,_,_,149.3751474346,-283162599674.2292
_,_,_,150.0000022352,2984714016344.7695
_,_,_,150.0000022352,11852469804685.943
_,_,_,150.0000022352,9781830634681.756
_,_,_,150.0000022352,-12220320971253.555
_,_,_,150.0000022352,10755740466414.559
_,_,_,150.0000022352,12655293100581.521
_,_,_,150.0000022352,13263214386513.258
_,_,_,150.0000022352,-437759549410.12177
_,_,_,51.2497103554,-3065844093230.1514
_,_,_,50.0000007451,-14392729416676.121
_,_,_,50.0000007451,-592664776358.5216
_,_,_,50.0000007451,8296134928335.357
_,_,_,50.0000007451,12431908291784.686
_,_,_,50.0000007451,-11926885305054.754
_,_,_,50.0000007451,16041441901029.566
_,_,_,50.0000007451,6070667885001.53
_,_,_,50.0000007451,9382507023397.342
_,_,_,50.0000007451,-24050584668334.645
_,_,_,50.0000007451,2658985972259.034
_,_,_,50.0000007451,-10241590200542.41
_,_,_,50.0000007451,-4577894852917.668
_,_,_,50.0000007451,11507968925240.125
_,_,_,50.0000007451,2295093925796.679
_,_,_,99.3751466773,11851374476271.588
_,_,_,100.0000014901,3902895330623.9194
_,_,_,100.0000014901,5846331757091.51
_,_,_,100.0000014901,-18130852641674.023
_,_,_,100.0000014901,10135291266173.658
_,_,_,100.0000014901,-24506626901993.645
_,_,_,100.0000014901,10822536398274.756
_,_,_,100.0000014901,13957341062550.955
_,_,_,100.0000014901,9419490231296.174
_,_,_,100.0000014901,14404864439326.664
_,_,_,100.0000014901,12139746668996.816
_,_,_,100.0000014901,6574057086797.156
_,_,_,98.7576142035,5052487578249.827
_,_,_,0.0,9898891484860.766
_,_,_,0.0,-3302196896683.9204
_,_,_,49.3751459369,10518769304253.477
_,_,_,50.0000007451,17189383000673.236
_,_,_,50.0000007451,6579193625838.246
_,_,_,50.0000007451,29304917082940.094
_,_,_,50.0000007451,16220542316599.9
_,_,_,50.0000007451,8270627414772.1
_,_,_,50.0000007451,13691045735698.598
_,_,_,50.0000007451,408988668747.78937
_,_,_,50.0000007451,7122366218434.58
_,_,_,50.0000007451,-1933189360163.4731
_,_,_,50.0000007451,-5119722611729.535
_,_,_,50.0000007451,5498260673991.884
_,_,_,50.0000007451,5102703866032.792
_,_,_,50.0000007451,-4108797216566.0166
_,_,_,50.0000007451,4649239308435.564
_,_,_,148.7502926096,618204510876.9727
_,_,_,150.0000022352,8396837017301.456
_,_,_,150.0000022352,9038388939134.582
_,_,_,150.0000022352,-3671698027044.4785
_,_,_,150.0000022352,-17145986338437.139
_,_,_,150.0000022352,-924667071865.5897
_,_,_,150.0000022352,6619671386009.143
_,_,_,150.0000022352,-23820161517696.43
_,_,_,150.0000022352,-6793604060614.646
_,_,_,150.0000022352,-17712871957086.832
_,_,_,100.6248563059,1415009091706.3066
_,_,_,100.0000014901,1945581189304.6738
_,_,_,100.0000014901,6240604885558.286
_,_,_,100.0000014901,14084159300610.861
_,_,_,100.0000014901,-92809974448.04242
_,_,_,100.0000014901,9300327209049.066
_,_,_,100.0000014901,14779054442350.553
_,_,_,100.0000014901,1828579156537.6318
_,_,_,100.0000014901,20718144261817.977
_,_,_,100.0000014901,7401804292748.593
_,_,_,100.0000014901,-1234993240561.0981
_,_,_,100.0000014901,-15970309109463.318
_,_,_,99.3788078438,24411546569217.008
_,_,_,50.0000007451,521467566524.97076
_,_,_,50.0000007451,-972013816433.4408
_,_,_,50.0000007451,-12182364987220.193
_,_,_,50.0000007451,6078551478974.963
_,_,_,50.0000007451,-9435632396467.635
_,_,_,50.0000007451,1605694529071.2651
_,_,_,50.0000007451,247787132335.44977
_,_,_,50.0000007451,-5184796415203.525
_,_,_,50.0000007451,21740841499525.203
_,_,_,50.0000007451,-12918616380347.697
_,_,_,50.0000007451,-9150331502112.314
