Mean Score,Participant Mean Scores,Most common best Parameter,True Label,Predicted Label
_,_,_,100.0000014901,-2001811350276.434
_,_,_,100.0000014901,-22180265817782.137
_,_,_,100.0000014901,16179276203130.281
_,_,_,100.0000014901,-49213790796837.2
_,_,_,100.0000014901,-8310186715032.657
_,_,_,100.0000014901,51927126167281.13
_,_,_,100.0000014901,7651761609323.474
_,_,_,100.0000014901,-10484946384830.033
_,_,_,99.3788078438,5125980438342.239
_,_,_,50.0000007451,-87266020588.49333
_,_,_,50.0000007451,43494421120202.914
_,_,_,50.0000007451,-45447813989411.055
_,_,_,50.0000007451,-57417434472050.9
_,_,_,50.0000007451,-6270408207465.482
_,_,_,50.0000007451,-67657018753390.57
_,_,_,50.0000007451,58352134123500.7
_,_,_,50.0000007451,3283876466660.0415
_,_,_,50.0000007451,-44525905338824.14
_,_,_,50.0000007451,-3502236742610.1113
_,_,_,50.0000007451,-5835650725357.653
_,_,_,50.0000007451,-13274685168785.246
_,_,_,50.0000007451,12848365084483.303
_,_,_,50.0000007451,-17965740433758.152
_,_,_,51.2423880255,20258406260347.137
_,_,_,150.0000022352,-74645673231354.88
_,_,_,150.0000022352,-25077727316119.027
_,_,_,150.0000022352,39577401514578.01
_,_,_,150.0000022352,6693520174981.22
_,_,_,150.0000022352,53536858210374.57
_,_,_,150.0000022352,23187022449280.676
_,_,_,150.0000022352,20935199138992.25
_,_,_,150.0000022352,126751406945518.86
_,_,_,150.0000022352,-20975312095719.902
_,_,_,149.378808598,40217443019339.75
_,_,_,100.0000014901,22931415715470.63
_,_,_,100.0000014901,8955208212471.98
_,_,_,100.0000014901,6759526040850.425
_,_,_,100.0000014901,-2807255396278.08
_,_,_,100.0000014901,12614616327438.973
_,_,_,100.0000014901,-1018919849310.4819
_,_,_,100.0000014901,-39189809779144.69
_,_,_,100.0000014901,-2827416769315.003
_,_,_,100.0000014901,-26787035233100.535
_,_,_,100.0000014901,-56041212185643.586
_,_,_,100.0000014901,9128460536516.889
_,_,_,100.0000014901,2166140811416.7803
_,_,_,149.3751474346,28123568304223.203
_,_,_,150.0000022352,25464343677749.11
_,_,_,150.0000022352,-1496923538330.7
_,_,_,150.0000022352,-62895609264070.15
_,_,_,150.0000022352,38442379207110.39
_,_,_,150.0000022352,13333534011145.926
_,_,_,150.0000022352,7049558741036.065
_,_,_,150.0000022352,-42211748633562.46
_,_,_,150.0000022352,-26565452426606.49
_,_,_,51.2497103554,15429381214900.295
_,_,_,50.0000007451,-7417231557146.371
_,_,_,50.0000007451,5402157677516.117
_,_,_,50.0000007451,-11436450882997.725
_,_,_,50.0000007451,37516132278496.0
_,_,_,50.0000007451,-38160886472700.18
_,_,_,50.0000007451,21537342883559.582
_,_,_,50.0000007451,23835760108244.74
_,_,_,50.0000007451,-536193237997.54767
_,_,_,50.0000007451,-36636786827165.39
_,_,_,50.0000007451,-35598458181234.03
_,_,_,50.0000007451,-53581226599950.79
_,_,_,50.0000007451,-15270293118910.105
_,_,_,50.0000007451,-5592394540589.626
_,_,_,50.0000007451,-509472385812.3843
_,_,_,99.3751466773,-2777168471350.4014
_,_,_,100.0000014901,-2014559137377.699
_,_,_,100.0000014901,27893484182803.02
_,_,_,100.0000014901,-44975602110153.08
_,_,_,100.0000014901,56354725110283.14
_,_,_,100.0000014901,35316251070344.77
_,_,_,100.0000014901,2583225463986.3516
_,_,_,100.0000014901,5542401978519.471
_,_,_,100.0000014901,25664806379301.89
_,_,_,100.0000014901,-28770840817717.85
_,_,_,100.0000014901,35081340946438.344
_,_,_,100.0000014901,30140672203800.35
_,_,_,98.7576142035,-14144074407464.387
_,_,_,0.0,5969697639795.265
_,_,_,0.0,11329623936643.838
_,_,_,49.3751459369,-11981957832554.197
_,_,_,50.0000007451,-40338844527471.42
_,_,_,50.0000007451,10555300187039.945
_,_,_,50.0000007451,-23760882198111.684
_,_,_,50.0000007451,-54940801719512.99
_,_,_,50.0000007451,-42415456197086.33
_,_,_,50.0000007451,8959801673774.887
_,_,_,50.0000007451,-64090553260903.62
_,_,_,50.0000007451,63357921071250.24
_,_,_,50.0000007451,-37755909845484.7
_,_,_,50.0000007451,-13616090246159.883
_,_,_,50.0000007451,-2813239633433.625
_,_,_,50.0000007451,-62901843960563.14
_,_,_,50.0000007451,-36730520532128.96
_,_,_,50.0000007451,-16201837807348.46
_,_,_,148.7502926096,378207486190.1827
_,_,_,150.0000022352,-26158248945942.297
_,_,_,150.0000022352,2451890891615.196
_,_,_,150.0000022352,19961563982150.61
_,_,_,150.0000022352,22113624121131.152
_,_,_,150.0000022352,66336672700682.28
_,_,_,150.0000022352,22358105873603.266
_,_,_,150.0000022352,37631368516500.984
_,_,_,150.0000022352,10689596771944.412
_,_,_,150.0000022352,-14241312043652.889
_,_,_,100.6248563059,8440873367160.589
_,_,_,100.0000014901,18199633704381.426
_,_,_,100.0000014901,10144306247008.668
_,_,_,100.0000014901,32362194886725.17
_,_,_,100.0000014901,-43241747335248.19
_,_,_,100.0000014901,-8052249656162.825
_,_,_,100.0000014901,-15030674260470.281
_,_,_,100.0000014901,-19766258510951.63
_,_,_,100.0000014901,16838983237570.611
_,_,_,100.0000014901,2779588196733.5117
_,_,_,100.0000014901,-88462697020229.62
_,_,_,100.0000014901,-61740142591829.586
_,_,_,99.3788078438,23771147359631.91
_,_,_,50.0000007451,-22273712164817.023
_,_,_,50.0000007451,-16701504818054.994
_,_,_,50.0000007451,-2123446458450.9634
_,_,_,50.0000007451,-32011495675977.33
_,_,_,50.0000007451,-30157429510393.016
_,_,_,50.0000007451,-61490593818632.96
_,_,_,50.0000007451,-892519945518.0387
_,_,_,50.0000007451,23321571646169.855
_,_,_,50.0000007451,55075530325786.43
_,_,_,50.0000007451,23745834337823.473
_,_,_,50.0000007451,-3010209449570.4697
_,_,_,50.0000007451,18355920787608.555
_,_,_,50.0000007451,-14439391398389.857
_,_,_,50.0000007451,-19262527002541.277
_,_,_,51.2423880255,-32146405226981.65
_,_,_,150.0000022352,-14433434677386.027
_,_,_,150.0000022352,-3539436639983.9814
_,_,_,150.0000022352,8201914877161.059
_,_,_,150.0000022352,-98152561870672.16
_,_,_,150.0000022352,-31050815837634.402
_,_,_,150.0000022352,5377701673161.301
_,_,_,150.0000022352,9384732096013.588
_,_,_,150.0000022352,-14863828740967.979
_,_,_,150.0000022352,-55569661399761.48
_,_,_,149.378808598,-47014500384551.06
_,_,_,100.0000014901,-36473042533583.35
_,_,_,100.0000014901,-12674769963999.053
_,_,_,100.0000014901,29069644416056.33
_,_,_,100.0000014901,-40738377964023.875
_,_,_,100.0000014901,-7346742921782.561
_,_,_,100.0000014901,-27983882535733.29
_,_,_,100.0000014901,33343794329254.355
_,_,_,100.0000014901,-50611126007441.914
_,_,_,100.0000014901,-9553625746932.06
_,_,_,100.0000014901,51579531708996.13
_,_,_,100.0000014901,-28364419040425.957
_,_,_,100.0000014901,31031200241608.965
_,_,_,149.3751474346,-36432745938991.33
_,_,_,150.0000022352,-39247090238903.28
_,_,_,150.0000022352,2969898089068.512
_,_,_,150.0000022352,-25085138164124.67
_,_,_,150.0000022352,34370871100148.39
_,_,_,150.0000022352,22676496736107.137
_,_,_,150.0000022352,-33995188568043.117
_,_,_,150.0000022352,-53982363635485.44
_,_,_,150.0000022352,-15658673811881.977
_,_,_,150.0000022352,-43246585878658.37
_,_,_,51.2497103554,-17754021641418.637
_,_,_,50.0000007451,-29084930249693.797
_,_,_,50.0000007451,76421828075635.39
_,_,_,50.0000007451,10247484884151.191
_,_,_,50.0000007451,1232055078875.683
_,_,_,50.0000007451,-29352273378087.15
_,_,_,50.0000007451,2154026936186.2314
_,_,_,50.0000007451,-11810134262507.36
_,_,_,50.0000007451,7244345213410.06
_,_,_,50.0000007451,-42922638226762.266
_,_,_,50.0000007451,-22279053146475.848
_,_,_,50.0000007451,40912047187915.336
_,_,_,50.0000007451,-53670213401162.24
_,_,_,50.0000007451,-22861048787521.53
_,_,_,50.0000007451,37383574150489.97
_,_,_,99.3751466773,29097793518833.902
_,_,_,100.0000014901,48169292664857.08
_,_,_,100.0000014901,-32847685103418.35
_,_,_,100.0000014901,-12939435030676.934
_,_,_,100.0000014901,24360963863740.96
_,_,_,100.0000014901,-10645025383435.695
_,_,_,100.0000014901,-41001197353157.875
_,_,_,100.0000014901,46580339057572.85
_,_,_,100.0000014901,46326768894247.805
_,_,_,100.0000014901,13197318386304.826
_,_,_,100.0000014901,9220521945418.402
_,_,_,100.0000014901,-23197161846578.03
_,_,_,98.7576142035,-41414316791471.58
_,_,_,0.0,27697620771321.08
_,_,_,0.0,-18511987291644.523
_,_,_,49.3751459369,9111513114717.31
_,_,_,50.0000007451,-52102830757972.04
_,_,_,50.0000007451,23965218358399.633
_,_,_,50.0000007451,-63256014957391.77
_,_,_,50.0000007451,-14915632430619.652
_,_,_,50.0000007451,83618427115342.92
_,_,_,50.0000007451,11166938286857.834
