Mean Score,Test Scores,Most common best Parameter,True Label,Predicted Label
_,_,_,100.0000014901,-15963851273475.322
_,_,_,100.0000014901,-18895962919460.594
_,_,_,100.0000014901,677310664029.116
_,_,_,100.0000014901,-25036939794114.13
_,_,_,100.0000014901,47077972718425.805
_,_,_,100.0000014901,3725049271186.9194
_,_,_,100.0000014901,22332639632428.77
_,_,_,100.0000014901,-4778948524915.36
_,_,_,100.0000014901,-14194095113289.188
_,_,_,99.3788078438,33182800739549.95
_,_,_,50.0000007451,-1640770110125.7258
_,_,_,50.0000007451,14197742513130.871
_,_,_,50.0000007451,-33822264668655.36
_,_,_,50.0000007451,9549846030441.672
_,_,_,50.0000007451,25093334514049.39
_,_,_,50.0000007451,-62579014747739.02
_,_,_,50.0000007451,5317194716278.289
_,_,_,50.0000007451,9925251875718.889
_,_,_,50.0000007451,6715302664261.264
_,_,_,50.0000007451,-278679045510.44324
_,_,_,50.0000007451,-12333750125683.48
_,_,_,50.0000007451,-29837431835159.566
_,_,_,50.0000007451,4274865056230.6978
_,_,_,50.0000007451,-18519755148198.65
_,_,_,51.2423880255,12060823594969.242
_,_,_,150.0000022352,31649205342467.715
_,_,_,150.0000022352,-21437030122601.77
_,_,_,150.0000022352,46929934787311.95
_,_,_,150.0000022352,3810310911327.807
_,_,_,150.0000022352,-64667859834946.31
_,_,_,150.0000022352,63201199970024.04
_,_,_,150.0000022352,-5892649772482.9795
_,_,_,150.0000022352,-22179754203070.85
_,_,_,150.0000022352,5114376040479.099
_,_,_,149.378808598,10369584945742.48
_,_,_,100.0000014901,25233244873099.297
_,_,_,100.0000014901,-15156608961566.5
_,_,_,100.0000014901,-15955601102078.807
_,_,_,100.0000014901,-64205518290448.11
_,_,_,100.0000014901,12419972068861.604
_,_,_,100.0000014901,-5302498154533.7705
_,_,_,100.0000014901,-15246476829359.549
_,_,_,100.0000014901,-1810350000696.1062
_,_,_,100.0000014901,-10935439428918.117
_,_,_,100.0000014901,-32517217387767.844
_,_,_,100.0000014901,-3510626875215.159
_,_,_,100.0000014901,15420537617203.531
_,_,_,149.3751474346,-13566642597689.062
_,_,_,150.0000022352,-35527060632086.07
_,_,_,150.0000022352,-468142851463.2177
_,_,_,150.0000022352,-28297536781333.387
_,_,_,150.0000022352,24147532007961.555
_,_,_,150.0000022352,22133040969779.5
_,_,_,150.0000022352,-3481149937077.51
_,_,_,150.0000022352,46734689770076.195
_,_,_,150.0000022352,-49850527639683.93
